sb.prepare.met.point-query.warm.range100.pk1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.073499	0	0	0.013	181	x.pg9124_def.x9a2_bee.pk1
0.077514	0	0	0.026	174	x.pg9224_def.x9a2_bee.pk1
0.073242	0	0	0.235	182	x.pg9325_def.x9a2_bee.pk1
0.060374	0	0	0.013	223	x.pg9426_def.x9a2_bee.pk1
0.065047	0	0	0.032	206	x.pg9525_def.x9a2_bee.pk1
0.060236	0	0	0.026	222	x.pg9624_def.x9a2_bee.pk1
0.059891	0	0	0.006	225	x.pg1023_def.x9a2_bee.pk1
0.059888	0	0	0.007	224	x.pg1122_def.x9a2_bee.pk1
0.061400	0	0	0.007	219	x.pg1217_def.x9a2_bee.pk1
0.061693	0	0	0.015	217	x.pg1313_def.x9a2_bee.pk1
0.058218	0	0	0.007	231	x.pg1411_def.x9a2_bee.pk1
0.056570	0	0	0	238	x.pg156_def.x9a2_bee.pk1
0.056193	0	0	0	240	x.pg162_def.x9a2_bee.pk1
--- relative to first result
0.99		1	1	0.72	1.01	x.pg9124_def.x9a2_bee.pk1
1.04		1	1	1.44	0.97	x.pg9224_def.x9a2_bee.pk1
0.99		1	1	13.06	1.02	x.pg9325_def.x9a2_bee.pk1
0.81		1	1	0.72	1.25	x.pg9426_def.x9a2_bee.pk1
0.88		1	1	1.78	1.15	x.pg9525_def.x9a2_bee.pk1
0.81		1	1	1.44	1.24	x.pg9624_def.x9a2_bee.pk1
0.81		1	1	0.33	1.26	x.pg1023_def.x9a2_bee.pk1
0.81		1	1	0.39	1.25	x.pg1122_def.x9a2_bee.pk1
0.83		1	1	0.39	1.22	x.pg1217_def.x9a2_bee.pk1
0.83		1	1	0.83	1.21	x.pg1313_def.x9a2_bee.pk1
0.78		1	1	0.39	1.29	x.pg1411_def.x9a2_bee.pk1
0.76		1	1	0.00	1.33	x.pg156_def.x9a2_bee.pk1
0.76		1	1	0.00	1.34	x.pg162_def.x9a2_bee.pk1

sb.met.points-covered-pk.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.009053	0	0	0.001	1329	x.pg9023_def.x9a2_bee.pk1
0.009082	0	0	0.001	1331	x.pg9124_def.x9a2_bee.pk1
0.007735	0	0	0.001	1592	x.pg9224_def.x9a2_bee.pk1
0.007628	0	0	0.001	1598	x.pg9325_def.x9a2_bee.pk1
0.007350	0	0	0.001	1638	x.pg9426_def.x9a2_bee.pk1
0.007404	0	0	0.004	1627	x.pg9525_def.x9a2_bee.pk1
0.007598	0	0	0.001	1605	x.pg9624_def.x9a2_bee.pk1
0.007702	0	0	0.001	1586	x.pg1023_def.x9a2_bee.pk1
0.007334	0	0	0.001	1665	x.pg1122_def.x9a2_bee.pk1
0.007398	0	0	0.001	1636	x.pg1217_def.x9a2_bee.pk1
0.007371	0	0	0.001	1640	x.pg1313_def.x9a2_bee.pk1
0.007348	0	0	0.001	1646	x.pg1411_def.x9a2_bee.pk1
0.007330	0	0	0	1650	x.pg156_def.x9a2_bee.pk1
0.007390	0	0	0	1654	x.pg162_def.x9a2_bee.pk1
--- relative to first result
1.00		1	1	1.00	1.00	x.pg9124_def.x9a2_bee.pk1
0.85		1	1	1.00	1.20	x.pg9224_def.x9a2_bee.pk1
0.84		1	1	1.00	1.20	x.pg9325_def.x9a2_bee.pk1
0.81		1	1	1.00	1.23	x.pg9426_def.x9a2_bee.pk1
0.82		1	1	4.00	1.22	x.pg9525_def.x9a2_bee.pk1
0.84		1	1	1.00	1.21	x.pg9624_def.x9a2_bee.pk1
0.85		1	1	1.00	1.19	x.pg1023_def.x9a2_bee.pk1
0.81		1	1	1.00	1.25	x.pg1122_def.x9a2_bee.pk1
0.82		1	1	1.00	1.23	x.pg1217_def.x9a2_bee.pk1
0.81		1	1	1.00	1.23	x.pg1313_def.x9a2_bee.pk1
0.81		1	1	1.00	1.24	x.pg1411_def.x9a2_bee.pk1
0.81		1	1	0.00	1.24	x.pg156_def.x9a2_bee.pk1
0.82		1	1	0.00	1.24	x.pg162_def.x9a2_bee.pk1

sb.met.points-notcovered-pk.pre.range100.pk1.dop1
--- absolute
