sb.prepare.met.point-query.warm.range100.pk1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.010608	0	0	0	1145	x.my8014_rel.z10a_bee.pk1
0.011143	0	0	0	1086	x.my8020_rel.z10a_bee.pk1
0.011515	0	0	0	1037	x.my8028_rel.z10a_bee.pk1
0.011191	0	0	0	1092	x.my8035_rel.z10a_bee.pk1
0.011133	0	0	0	1100	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.01		1	1	1.04	0.99	x.my5631_rel.z10a_bee.pk1
1.01		1	1	1.00	0.99	x.my5641_rel.z10a_bee.pk1
1.01		1	1	1.04	0.98	x.my5651_rel.z10a_bee.pk1
1.19		1	1	0.00	0.84	x.my5710_rel.z10a_bee.pk1
1.16		1	1	0.00	0.85	x.my5720_rel.z10a_bee.pk1
1.17		1	1	0.00	0.85	x.my5730_rel.z10a_bee.pk1
1.21		1	1	0.00	0.83	x.my5744_rel.z10a_bee.pk1
1.37		1	1	0.00	0.73	x.my8013_rel.z10a_bee.pk1
1.39		1	1	0.00	0.72	x.my8014_rel.z10a_bee.pk1
1.46		1	1	0.00	0.68	x.my8020_rel.z10a_bee.pk1
1.50		1	1	0.00	0.65	x.my8028_rel.z10a_bee.pk1
1.46		1	1	0.00	0.69	x.my8035_rel.z10a_bee.pk1
1.45		1	1	0.00	0.69	x.my8036_rel.z10a_bee.pk1

sb.met.random-points.pre.range1000.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.078435	0	0	0.172	160	x.my5621_rel.z10a_bee.pk1
0.078254	0	0	0.175	161	x.my5631_rel.z10a_bee.pk1
0.078490	0	0	0.172	160	x.my5641_rel.z10a_bee.pk1
0.079662	0	0	0.175	158	x.my5651_rel.z10a_bee.pk1
0.082551	0	0	0.001	153	x.my5710_rel.z10a_bee.pk1
0.079214	0	0	0	160	x.my5720_rel.z10a_bee.pk1
0.079089	0	0	0.001	158	x.my5730_rel.z10a_bee.pk1
0.082378	0	0	0.001	153	x.my5744_rel.z10a_bee.pk1
0.092915	0	0	0.001	135	x.my8013_rel.z10a_bee.pk1
0.094806	0	0	0.001	133	x.my8014_rel.z10a_bee.pk1
0.099432	0	0	0.001	128	x.my8020_rel.z10a_bee.pk1
0.220742	0	0	0.003	55	x.my8028_rel.z10a_bee.pk1
0.098176	0	0	0.001	129	x.my8035_rel.z10a_bee.pk1
0.097758	0	0	0.001	129	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.00		1	1	1.02	1.01	x.my5631_rel.z10a_bee.pk1
1.00		1	1	1.00	1.00	x.my5641_rel.z10a_bee.pk1
1.02		1	1	1.02	0.99	x.my5651_rel.z10a_bee.pk1
1.05		1	1	0.01	0.96	x.my5710_rel.z10a_bee.pk1
1.01		1	1	0.00	1.00	x.my5720_rel.z10a_bee.pk1
1.01		1	1	0.01	0.99	x.my5730_rel.z10a_bee.pk1
1.05		1	1	0.01	0.96	x.my5744_rel.z10a_bee.pk1
1.18		1	1	0.01	0.84	x.my8013_rel.z10a_bee.pk1
1.21		1	1	0.01	0.83	x.my8014_rel.z10a_bee.pk1
1.27		1	1	0.01	0.80	x.my8020_rel.z10a_bee.pk1
2.81		1	1	0.02	0.34	x.my8028_rel.z10a_bee.pk1
1.25		1	1	0.01	0.81	x.my8035_rel.z10a_bee.pk1
1.25		1	1	0.01	0.81	x.my8036_rel.z10a_bee.pk1

sb.met.read-only.pre.range10.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.000705	0	0	0.002	18247	x.my5621_rel.z10a_bee.pk1
0.000722	0	0	0.002	17869	x.my5631_rel.z10a_bee.pk1
0.000714	0	0	0.002	18022	x.my5641_rel.z10a_bee.pk1
0.000717	0	0	0.002	17999	x.my5651_rel.z10a_bee.pk1
0.000829	0	0	0	15635	x.my5710_rel.z10a_bee.pk1
0.000836	0	0	0	15481	x.my5720_rel.z10a_bee.pk1
0.000831	0	0	0	15676	x.my5730_rel.z10a_bee.pk1
0.000858	0	0	0	15077	x.my5744_rel.z10a_bee.pk1
0.000946	0	0	0	13759	x.my8013_rel.z10a_bee.pk1
0.000961	0	0	0	13469	x.my8014_rel.z10a_bee.pk1
0.001007	0	0	0	12882	x.my8020_rel.z10a_bee.pk1
0.000990	0	0	0	12997	x.my8028_rel.z10a_bee.pk1
0.001091	0	0	0	11923	x.my8035_rel.z10a_bee.pk1
0.001086	0	0	0	11922	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.02		1	1	1.00	0.98	x.my5631_rel.z10a_bee.pk1
1.01		1	1	1.00	0.99	x.my5641_rel.z10a_bee.pk1
1.02		1	1	1.00	0.99	x.my5651_rel.z10a_bee.pk1
1.18		1	1	0.00	0.86	x.my5710_rel.z10a_bee.pk1
1.19		1	1	0.00	0.85	x.my5720_rel.z10a_bee.pk1
1.18		1	1	0.00	0.86	x.my5730_rel.z10a_bee.pk1
1.22		1	1	0.00	0.83	x.my5744_rel.z10a_bee.pk1
1.34		1	1	0.00	0.75	x.my8013_rel.z10a_bee.pk1
1.36		1	1	0.00	0.74	x.my8014_rel.z10a_bee.pk1
1.43		1	1	0.00	0.71	x.my8020_rel.z10a_bee.pk1
1.40		1	1	0.00	0.71	x.my8028_rel.z10a_bee.pk1
1.55		1	1	0.00	0.65	x.my8035_rel.z10a_bee.pk1
1.54		1	1	0.00	0.65	x.my8036_rel.z10a_bee.pk1

sb.met.read-only.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.001076	0	0	0.004	11731	x.my5621_rel.z10a_bee.pk1
0.001104	0	0	0.004	11407	x.my5631_rel.z10a_bee.pk1
0.001100	0	0	0.004	11413	x.my5641_rel.z10a_bee.pk1
0.001105	0	0	0.004	11395	x.my5651_rel.z10a_bee.pk1
0.001133	0	0	0	11261	x.my5710_rel.z10a_bee.pk1
0.001139	0	0	0	11219	x.my5720_rel.z10a_bee.pk1
0.001137	0	0	0	11271	x.my5730_rel.z10a_bee.pk1
0.001173	0	0	0	10827	x.my5744_rel.z10a_bee.pk1
0.001272	0	0	0	10018	x.my8013_rel.z10a_bee.pk1
0.001304	0	0	0	9810	x.my8014_rel.z10a_bee.pk1
0.001336	0	0	0	9556	x.my8020_rel.z10a_bee.pk1
0.001336	0	0	0	9496	x.my8028_rel.z10a_bee.pk1
0.001454	0	0	0	8739	x.my8035_rel.z10a_bee.pk1
0.001458	0	0	0	8712	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.03		1	1	1.00	0.97	x.my5631_rel.z10a_bee.pk1
1.02		1	1	1.00	0.97	x.my5641_rel.z10a_bee.pk1
1.03		1	1	1.00	0.97	x.my5651_rel.z10a_bee.pk1
1.05		1	1	0.00	0.96	x.my5710_rel.z10a_bee.pk1
1.06		1	1	0.00	0.96	x.my5720_rel.z10a_bee.pk1
1.06		1	1	0.00	0.96	x.my5730_rel.z10a_bee.pk1
1.09		1	1	0.00	0.92	x.my5744_rel.z10a_bee.pk1
1.18		1	1	0.00	0.85	x.my8013_rel.z10a_bee.pk1
1.21		1	1	0.00	0.84	x.my8014_rel.z10a_bee.pk1
1.24		1	1	0.00	0.81	x.my8020_rel.z10a_bee.pk1
1.24		1	1	0.00	0.81	x.my8028_rel.z10a_bee.pk1
1.35		1	1	0.00	0.74	x.my8035_rel.z10a_bee.pk1
1.36		1	1	0.00	0.74	x.my8036_rel.z10a_bee.pk1

sb.met.read-only.pre.range10000.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.043996	0	0	0.041	298	x.my5621_rel.z10a_bee.pk1
0.045069	0	0	0.063	291	x.my5631_rel.z10a_bee.pk1
0.045684	0	0	0.03	287	x.my5641_rel.z10a_bee.pk1
0.045477	0	0	0.033	288	x.my5651_rel.z10a_bee.pk1
0.036821	0	0	0.009	363	x.my5710_rel.z10a_bee.pk1
0.036867	0	0	0.014	361	x.my5720_rel.z10a_bee.pk1
0.037073	0	0	0.02	359	x.my5730_rel.z10a_bee.pk1
0.038305	0	0	0.014	348	x.my5744_rel.z10a_bee.pk1
0.041163	0	0	0.009	323	x.my8013_rel.z10a_bee.pk1
0.042053	0	0	0.077	320	x.my8014_rel.z10a_bee.pk1
0.041198	0	0	0.016	320	x.my8020_rel.z10a_bee.pk1
0.043093	0	0	0.015	305	x.my8028_rel.z10a_bee.pk1
0.045007	0	0	0.011	291	x.my8035_rel.z10a_bee.pk1
0.045097	0	0	0.063	289	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.02		1	1	1.54	0.98	x.my5631_rel.z10a_bee.pk1
1.04		1	1	0.73	0.96	x.my5641_rel.z10a_bee.pk1
1.03		1	1	0.80	0.97	x.my5651_rel.z10a_bee.pk1
0.84		1	1	0.22	1.22	x.my5710_rel.z10a_bee.pk1
0.84		1	1	0.34	1.21	x.my5720_rel.z10a_bee.pk1
0.84		1	1	0.49	1.20	x.my5730_rel.z10a_bee.pk1
0.87		1	1	0.34	1.17	x.my5744_rel.z10a_bee.pk1
0.94		1	1	0.22	1.08	x.my8013_rel.z10a_bee.pk1
0.96		1	1	1.88	1.07	x.my8014_rel.z10a_bee.pk1
0.94		1	1	0.39	1.07	x.my8020_rel.z10a_bee.pk1
0.98		1	1	0.37	1.02	x.my8028_rel.z10a_bee.pk1
1.02		1	1	0.27	0.98	x.my8035_rel.z10a_bee.pk1
1.03		1	1	1.54	0.97	x.my8036_rel.z10a_bee.pk1

sb.met.points-covered-pk.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.007274	0	0	0.026	1650	x.my5621_rel.z10a_bee.pk1
0.007382	0	0	0.027	1628	x.my5631_rel.z10a_bee.pk1
0.007462	0	0	0.026	1621	x.my5641_rel.z10a_bee.pk1
0.007553	0	0	0.027	1608	x.my5651_rel.z10a_bee.pk1
0.008816	0	0	0	1371	x.my5710_rel.z10a_bee.pk1
0.008586	0	0	0	1402	x.my5720_rel.z10a_bee.pk1
0.008716	0	0	0	1395	x.my5730_rel.z10a_bee.pk1
0.009022	0	0	0	1351	x.my5744_rel.z10a_bee.pk1
0.009881	0	0	0	1211	x.my8013_rel.z10a_bee.pk1
0.010226	0	0	0	1188	x.my8014_rel.z10a_bee.pk1
0.010841	0	0	0	1127	x.my8020_rel.z10a_bee.pk1
0.011299	0	0	0	1072	x.my8028_rel.z10a_bee.pk1
0.010818	0	0	0	1132	x.my8035_rel.z10a_bee.pk1
0.010753	0	0	0	1136	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.01		1	1	1.04	0.99	x.my5631_rel.z10a_bee.pk1
1.03		1	1	1.00	0.98	x.my5641_rel.z10a_bee.pk1
1.04		1	1	1.04	0.97	x.my5651_rel.z10a_bee.pk1
1.21		1	1	0.00	0.83	x.my5710_rel.z10a_bee.pk1
1.18		1	1	0.00	0.85	x.my5720_rel.z10a_bee.pk1
1.20		1	1	0.00	0.85	x.my5730_rel.z10a_bee.pk1
1.24		1	1	0.00	0.82	x.my5744_rel.z10a_bee.pk1
1.36		1	1	0.00	0.73	x.my8013_rel.z10a_bee.pk1
1.41		1	1	0.00	0.72	x.my8014_rel.z10a_bee.pk1
1.49		1	1	0.00	0.68	x.my8020_rel.z10a_bee.pk1
1.55		1	1	0.00	0.65	x.my8028_rel.z10a_bee.pk1
1.49		1	1	0.00	0.69	x.my8035_rel.z10a_bee.pk1
1.48		1	1	0.00	0.69	x.my8036_rel.z10a_bee.pk1

sb.met.points-notcovered-pk.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.007710	0	0	0.027	1580	x.my5621_rel.z10a_bee.pk1
0.007719	0	0	0.028	1566	x.my5631_rel.z10a_bee.pk1
0.007739	0	0	0.028	1560	x.my5641_rel.z10a_bee.pk1
0.007720	0	0	0.028	1552	x.my5651_rel.z10a_bee.pk1
0.009223	0	0	0	1322	x.my5710_rel.z10a_bee.pk1
0.009042	0	0	0	1348	x.my5720_rel.z10a_bee.pk1
0.009079	0	0	0	1339	x.my5730_rel.z10a_bee.pk1
0.009236	0	0	0	1304	x.my5744_rel.z10a_bee.pk1
0.010594	0	0	0	1154	x.my8013_rel.z10a_bee.pk1
0.010735	0	0	0	1138	x.my8014_rel.z10a_bee.pk1
0.011244	0	0	0	1079	x.my8020_rel.z10a_bee.pk1
0.011458	0	0	0	1029	x.my8028_rel.z10a_bee.pk1
0.011146	0	0	0	1084	x.my8035_rel.z10a_bee.pk1
0.011159	0	0	0	1087	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.00		1	1	1.04	0.99	x.my5631_rel.z10a_bee.pk1
1.00		1	1	1.04	0.99	x.my5641_rel.z10a_bee.pk1
1.00		1	1	1.04	0.98	x.my5651_rel.z10a_bee.pk1
1.20		1	1	0.00	0.84	x.my5710_rel.z10a_bee.pk1
1.17		1	1	0.00	0.85	x.my5720_rel.z10a_bee.pk1
1.18		1	1	0.00	0.85	x.my5730_rel.z10a_bee.pk1
1.20		1	1	0.00	0.83	x.my5744_rel.z10a_bee.pk1
1.37		1	1	0.00	0.73	x.my8013_rel.z10a_bee.pk1
1.39		1	1	0.00	0.72	x.my8014_rel.z10a_bee.pk1
1.46		1	1	0.00	0.68	x.my8020_rel.z10a_bee.pk1
1.49		1	1	0.00	0.65	x.my8028_rel.z10a_bee.pk1
1.45		1	1	0.00	0.69	x.my8035_rel.z10a_bee.pk1
1.45		1	1	0.00	0.69	x.my8036_rel.z10a_bee.pk1

sb.met.points-covered-si.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.007157	0	0	0.025	1715	x.my5621_rel.z10a_bee.pk1
0.007292	0	0	0.027	1670	x.my5631_rel.z10a_bee.pk1
0.007364	0	0	0.026	1665	x.my5641_rel.z10a_bee.pk1
0.007351	0	0	0.027	1658	x.my5651_rel.z10a_bee.pk1
0.007920	0	0	0	1504	x.my5710_rel.z10a_bee.pk1
0.007891	0	0	0	1529	x.my5720_rel.z10a_bee.pk1
0.007890	0	0	0	1519	x.my5730_rel.z10a_bee.pk1
0.008361	0	0	0	1449	x.my5744_rel.z10a_bee.pk1
0.008760	0	0	0	1392	x.my8013_rel.z10a_bee.pk1
0.008956	0	0	0	1359	x.my8014_rel.z10a_bee.pk1
0.009266	0.016	0.252	0	1315	x.my8020_rel.z10a_bee.pk1
0.009863	0.017	0.269	0	1231	x.my8028_rel.z10a_bee.pk1
0.009308	0.016	0.253	0	1311	x.my8035_rel.z10a_bee.pk1
0.009272	0.016	0.251	0	1322	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.02		1	1	1.08	0.97	x.my5631_rel.z10a_bee.pk1
1.03		1	1	1.04	0.97	x.my5641_rel.z10a_bee.pk1
1.03		1	1	1.08	0.97	x.my5651_rel.z10a_bee.pk1
1.11		1	1	0.00	0.88	x.my5710_rel.z10a_bee.pk1
1.10		1	1	0.00	0.89	x.my5720_rel.z10a_bee.pk1
1.10		1	1	0.00	0.89	x.my5730_rel.z10a_bee.pk1
1.17		1	1	0.00	0.84	x.my5744_rel.z10a_bee.pk1
1.22		1	1	0.00	0.81	x.my8013_rel.z10a_bee.pk1
1.25		1	1	0.00	0.79	x.my8014_rel.z10a_bee.pk1
1.29		inf	inf	0.00	0.77	x.my8020_rel.z10a_bee.pk1
1.38		inf	inf	0.00	0.72	x.my8028_rel.z10a_bee.pk1
1.30		inf	inf	0.00	0.76	x.my8035_rel.z10a_bee.pk1
1.30		inf	inf	0.00	0.77	x.my8036_rel.z10a_bee.pk1

sb.met.points-notcovered-si.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.011996	0	0	0.042	995	x.my5621_rel.z10a_bee.pk1
0.012307	0	0	0.044	977	x.my5631_rel.z10a_bee.pk1
0.012535	0	0	0.044	968	x.my5641_rel.z10a_bee.pk1
0.012619	0	0	0.045	962	x.my5651_rel.z10a_bee.pk1
0.014511	0	0	0	842	x.my5710_rel.z10a_bee.pk1
0.014123	0	0	0	861	x.my5720_rel.z10a_bee.pk1
0.014225	0	0	0	858	x.my5730_rel.z10a_bee.pk1
0.014902	0	0	0	822	x.my5744_rel.z10a_bee.pk1
0.015580	0	0	0	777	x.my8013_rel.z10a_bee.pk1
0.016013	0	0	0	756	x.my8014_rel.z10a_bee.pk1
0.016875	0	0	0	723	x.my8020_rel.z10a_bee.pk1
0.016815	0	0	0	723	x.my8028_rel.z10a_bee.pk1
0.016519	0	0	0	731	x.my8035_rel.z10a_bee.pk1
0.016175	0	0	0	739	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.03		1	1	1.05	0.98	x.my5631_rel.z10a_bee.pk1
1.04		1	1	1.05	0.97	x.my5641_rel.z10a_bee.pk1
1.05		1	1	1.07	0.97	x.my5651_rel.z10a_bee.pk1
1.21		1	1	0.00	0.85	x.my5710_rel.z10a_bee.pk1
1.18		1	1	0.00	0.87	x.my5720_rel.z10a_bee.pk1
1.19		1	1	0.00	0.86	x.my5730_rel.z10a_bee.pk1
1.24		1	1	0.00	0.83	x.my5744_rel.z10a_bee.pk1
1.30		1	1	0.00	0.78	x.my8013_rel.z10a_bee.pk1
1.33		1	1	0.00	0.76	x.my8014_rel.z10a_bee.pk1
1.41		1	1	0.00	0.73	x.my8020_rel.z10a_bee.pk1
1.40		1	1	0.00	0.73	x.my8028_rel.z10a_bee.pk1
1.38		1	1	0.00	0.73	x.my8035_rel.z10a_bee.pk1
1.35		1	1	0.00	0.74	x.my8036_rel.z10a_bee.pk1

sb.met.range-covered-pk.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.001370	0	0	0.006	9170	x.my5621_rel.z10a_bee.pk1
0.001420	0	0	0.006	8792	x.my5631_rel.z10a_bee.pk1
0.001434	0	0	0.006	8635	x.my5641_rel.z10a_bee.pk1
0.001452	0	0	0.006	8592	x.my5651_rel.z10a_bee.pk1
0.001702	0	0	0	7458	x.my5710_rel.z10a_bee.pk1
0.001705	0	0	0	7452	x.my5720_rel.z10a_bee.pk1
0.001728	0	0	0	7342	x.my5730_rel.z10a_bee.pk1
0.001806	0	0	0	6960	x.my5744_rel.z10a_bee.pk1
0.001923	0	0	0	6595	x.my8013_rel.z10a_bee.pk1
0.001969	0	0	0	6319	x.my8014_rel.z10a_bee.pk1
0.002049	0	0	0	6157	x.my8020_rel.z10a_bee.pk1
0.002046	0	0	0	6085	x.my8028_rel.z10a_bee.pk1
0.002198	0	0	0	5658	x.my8035_rel.z10a_bee.pk1
0.002208	0	0	0	5647	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.04		1	1	1.00	0.96	x.my5631_rel.z10a_bee.pk1
1.05		1	1	1.00	0.94	x.my5641_rel.z10a_bee.pk1
1.06		1	1	1.00	0.94	x.my5651_rel.z10a_bee.pk1
1.24		1	1	0.00	0.81	x.my5710_rel.z10a_bee.pk1
1.24		1	1	0.00	0.81	x.my5720_rel.z10a_bee.pk1
1.26		1	1	0.00	0.80	x.my5730_rel.z10a_bee.pk1
1.32		1	1	0.00	0.76	x.my5744_rel.z10a_bee.pk1
1.40		1	1	0.00	0.72	x.my8013_rel.z10a_bee.pk1
1.44		1	1	0.00	0.69	x.my8014_rel.z10a_bee.pk1
1.50		1	1	0.00	0.67	x.my8020_rel.z10a_bee.pk1
1.49		1	1	0.00	0.66	x.my8028_rel.z10a_bee.pk1
1.60		1	1	0.00	0.62	x.my8035_rel.z10a_bee.pk1
1.61		1	1	0.00	0.62	x.my8036_rel.z10a_bee.pk1

sb.met.range-notcovered-pk.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.001509	0	0	0.006	8251	x.my5621_rel.z10a_bee.pk1
0.001605	0	0	0.006	7763	x.my5631_rel.z10a_bee.pk1
0.001613	0	0	0.006	7645	x.my5641_rel.z10a_bee.pk1
0.001620	0	0	0.006	7654	x.my5651_rel.z10a_bee.pk1
0.001946	0	0	0	6390	x.my5710_rel.z10a_bee.pk1
0.001966	0	0	0	6347	x.my5720_rel.z10a_bee.pk1
0.001946	0	0	0	6425	x.my5730_rel.z10a_bee.pk1
0.002061	0	0	0	6089	x.my5744_rel.z10a_bee.pk1
0.002324	0	0	0	5400	x.my8013_rel.z10a_bee.pk1
0.002322	0	0	0	5404	x.my8014_rel.z10a_bee.pk1
0.002329	0	0	0	5401	x.my8020_rel.z10a_bee.pk1
0.002378	0	0	0	5240	x.my8028_rel.z10a_bee.pk1
0.002456	0	0	0	5094	x.my8035_rel.z10a_bee.pk1
0.002472	0	0	0	5038	x.my8036_rel.z10a_bee.pk1
--- relative to first result
