wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	F	L	C
9.9	38.9	1.25	0.007	32	4	230.1	232.0	712.0	11.8	TLN	T1LN3L4X1	t:1:18-l:25.398:6-l:25.398:6-l:25.398:1
10.5	38.5	1.25	0.007	26	4	212.1	214.0	598.0	11.2	TLN	T1LN3L4X1	t:1:12-l:25.398:6-l:25.398:6-l:25.398:1
12.2	39.2	1.25	0.007	20	4	194.1	196.0	484.0	10.2	TLN	T1LN3L4X1	t:1:6-l:25.398:6-l:25.398:6-l:25.398:1
18.9	43.9	1.25	0.007	16	4	182.1	184.0	408.0	8.6	TLN	T1LN3L4X1	t:1:2-l:25.398:6-l:25.398:6-l:25.398:1
13.9	39.9	1.25	0.007	18	4	188.1	190.0	446.0	9.6	TLN	T1LN3L4X1	t:1:4-l:25.398:6-l:25.398:6-l:25.398:1
8.6	37.6	1.29	0.007	41	4	270.0	274.0	898.0	12.7	TLN	T1LN3L4X1	t:1:25-l:25.396:7-l:25.396:7-l:25.396:1
8.9	37.9	1.29	0.007	34	4	249.0	253.0	765.0	12.2	TLN	T1LN3L4X1	t:1:18-l:25.396:7-l:25.396:7-l:25.396:1
9.5	37.5	1.29	0.007	28	4	231.0	235.0	651.0	11.6	TLN	T1LN3L4X1	t:1:12-l:25.396:7-l:25.396:7-l:25.396:1
11.2	38.2	1.29	0.007	22	4	213.0	217.0	537.0	10.6	TLN	T1LN3L4X1	t:1:6-l:25.396:7-l:25.396:7-l:25.396:1
18.0	43.0	1.29	0.007	18	4	201.0	205.0	461.0	9.1	TLN	T1LN3L4X1	t:1:2-l:25.396:7-l:25.396:7-l:25.396:1
12.9	38.9	1.29	0.007	20	4	207.0	211.0	499.0	10.1	TLN	T1LN3L4X1	t:1:4-l:25.396:7-l:25.396:7-l:25.396:1
7.9	36.9	1.33	0.008	43	4	288.3	295.0	951.0	13.1	TLN	T1LN3L4X1	t:1:25-l:25.400:8-l:25.400:8-l:25.400:1
8.2	37.2	1.33	0.008	36	4	267.3	274.0	818.0	12.6	TLN	T1LN3L4X1	t:1:18-l:25.400:8-l:25.400:8-l:25.400:1
8.8	36.8	1.33	0.008	30	4	249.3	256.0	704.0	12.0	TLN	T1LN3L4X1	t:1:12-l:25.400:8-l:25.400:8-l:25.400:1
10.5	37.5	1.33	0.008	24	4	231.3	238.0	590.0	11.0	TLN	T1LN3L4X1	t:1:6-l:25.400:8-l:25.400:8-l:25.400:1
17.2	42.2	1.33	0.008	20	4	219.3	226.0	514.0	9.4	TLN	T1LN3L4X1	t:1:2-l:25.400:8-l:25.400:8-l:25.400:1
12.2	38.2	1.33	0.008	22	4	225.3	232.0	552.0	10.4	TLN	T1LN3L4X1	t:1:4-l:25.400:8-l:25.400:8-l:25.400:1
24.3	47.3	1.08	0.005	53	4	337.9	340.0	1156.0	11.7	TL	T2L4	t:1:25-t:25:25-l:25.600:1-l:25.600:1
24.6	47.6	1.07	0.004	46	4	283.4	284.0	988.0	11.3	TL	T2L4	t:1:25-t:25:18-l:25.600:1-l:25.600:1
25.2	47.2	1.06	0.004	40	4	236.3	236.0	844.0	10.7	TL	T2L4	t:1:25-t:25:12-l:25.600:1-l:25.600:1
26.9	47.9	1.05	0.004	34	4	188.7	188.0	700.0	9.7	TL	T2L4	t:1:25-t:25:6-l:25.600:1-l:25.600:1
33.7	52.7	1.04	0.004	30	4	156.7	156.0	604.0	8.1	TL	T2L4	t:1:25-t:25:2-l:25.600:1-l:25.600:1
28.6	48.6	1.05	0.004	32	4	172.7	172.0	652.0	9.1	TL	T2L4	t:1:25-t:25:4-l:25.600:1-l:25.600:1
14.1	38.1	1.12	0.005	54	4	351.6	353.0	1185.0	12.7	TLN	T2LN3L4X0	t:1:25-t:25:25-l:25.600:2-l:25.600:1
14.4	38.4	1.11	0.005	47	4	297.1	297.0	1017.0	12.3	TLN	T2LN3L4X0	t:1:25-t:25:18-l:25.600:2-l:25.600:1
14.9	37.9	1.10	0.005	41	4	250.0	249.0	873.0	11.7	TLN	T2LN3L4X0	t:1:25-t:25:12-l:25.600:2-l:25.600:1
16.7	38.7	1.09	0.005	35	4	202.4	201.0	729.0	10.7	TLN	T2LN3L4X0	t:1:25-t:25:6-l:25.600:2-l:25.600:1
23.5	43.5	1.08	0.005	31	4	170.4	169.0	633.0	9.1	TLN	T2LN3L4X0	t:1:25-t:25:2-l:25.600:2-l:25.600:1
18.4	39.4	1.09	0.005	33	4	186.4	185.0	681.0	10.1	TLN	T2LN3L4X0	t:1:25-t:25:4-l:25.600:2-l:25.600:1
10.6	35.6	1.16	0.006	55	4	364.5	366.0	1214.0	13.3	TLN	T2LN3L4X0	t:1:25-t:25:25-l:25.600:3-l:25.600:1
11.0	36.0	1.15	0.005	48	4	310.1	310.0	1046.0	12.8	TLN	T2LN3L4X0	t:1:25-t:25:18-l:25.600:3-l:25.600:1
11.5	35.5	1.14	0.005	42	4	262.9	262.0	902.0	12.3	TLN	T2LN3L4X0	t:1:25-t:25:12-l:25.600:3-l:25.600:1
13.2	36.2	1.13	0.005	36	4	215.3	214.0	758.0	11.3	TLN	T2LN3L4X0	t:1:25-t:25:6-l:25.600:3-l:25.600:1
20.1	41.1	1.12	0.005	32	4	183.4	182.0	662.0	9.7	TLN	T2LN3L4X0	t:1:25-t:25:2-l:25.600:3-l:25.600:1
14.9	36.9	1.12	0.005	34	4	199.4	198.0	710.0	10.7	TLN	T2LN3L4X0	t:1:25-t:25:4-l:25.600:3-l:25.600:1
8.9	33.9	1.20	0.006	56	4	376.9	379.0	1243.0	13.7	TLN	T2LN3L4X0	t:1:25-t:25:25-l:25.600:4-l:25.600:1
9.3	34.3	1.19	0.006	49	4	322.5	323.0	1075.0	13.3	TLN	T2LN3L4X0	t:1:25-t:25:18-l:25.600:4-l:25.600:1
9.8	33.8	1.18	0.006	43	4	275.4	275.0	931.0	12.7	TLN	T2LN3L4X0	t:1:25-t:25:12-l:25.600:4-l:25.600:1
11.5	34.5	1.17	0.006	37	4	227.8	227.0	787.0	11.7	TLN	T2LN3L4X0	t:1:25-t:25:6-l:25.600:4-l:25.600:1
18.4	39.4	1.16	0.006	33	4	195.8	195.0	691.0	10.1	TLN	T2LN3L4X0	t:1:25-t:25:2-l:25.600:4-l:25.600:1
13.2	35.2	1.16	0.006	35	4	211.8	211.0	739.0	11.1	TLN	T2LN3L4X0	t:1:25-t:25:4-l:25.600:4-l:25.600:1
7.9	33.9	1.23	0.007	57	4	388.9	392.0	1272.0	14.1	TLN	T2LN3L4X0	t:1:25-t:25:25-l:25.600:5-l:25.600:1
8.2	34.2	1.22	0.006	50	4	334.4	336.0	1104.0	13.6	TLN	T2LN3L4X0	t:1:25-t:25:18-l:25.600:5-l:25.600:1
8.8	33.8	1.22	0.006	44	4	287.3	288.0	960.0	13.0	TLN	T2LN3L4X0	t:1:25-t:25:12-l:25.600:5-l:25.600:1
10.5	34.5	1.21	0.006	38	4	239.7	240.0	816.0	12.0	TLN	T2LN3L4X0	t:1:25-t:25:6-l:25.600:5-l:25.600:1
17.3	39.3	1.20	0.006	34	4	207.7	208.0	720.0	10.4	TLN	T2LN3L4X0	t:1:25-t:25:2-l:25.600:5-l:25.600:1
12.2	35.2	1.20	0.006	36	4	223.7	224.0	768.0	11.4	TLN	T2LN3L4X0	t:1:25-t:25:4-l:25.600:5-l:25.600:1
7.2	33.2	1.27	0.007	58	4	400.3	405.0	1301.0	14.3	TLN	T2LN3L4X0	t:1:25-t:25:25-l:25.600:6-l:25.600:1
7.6	33.6	1.26	0.007	51	4	345.8	349.0	1133.0	13.8	TLN	T2LN3L4X0	t:1:25-t:25:18-l:25.600:6-l:25.600:1
8.1	33.1	1.25	0.007	45	4	298.7	301.0	989.0	13.3	TLN	T2LN3L4X0	t:1:25-t:25:12-l:25.600:6-l:25.600:1
9.8	33.8	1.25	0.007	39	4	251.1	253.0	845.0	12.3	TLN	T2LN3L4X0	t:1:25-t:25:6-l:25.600:6-l:25.600:1
16.7	38.7	1.24	0.007	35	4	219.2	221.0	749.0	10.7	TLN	T2LN3L4X0	t:1:25-t:25:2-l:25.600:6-l:25.600:1
11.5	34.5	1.24	0.007	37	4	235.2	237.0	797.0	11.7	TLN	T2LN3L4X0	t:1:25-t:25:4-l:25.600:6-l:25.600:1
6.7	32.7	1.31	0.008	59	4	411.2	418.0	1330.0	14.5	TLN	T2LN3L4X0	t:1:25-t:25:25-l:25.600:7-l:25.600:1
7.1	33.1	1.30	0.007	52	4	356.7	362.0	1162.0	14.1	TLN	T2LN3L4X0	t:1:25-t:25:18-l:25.600:7-l:25.600:1
7.6	32.6	1.29	0.007	46	4	309.6	314.0	1018.0	13.5	TLN	T2LN3L4X0	t:1:25-t:25:12-l:25.600:7-l:25.600:1
9.3	33.3	1.28	0.007	40	4	262.0	266.0	874.0	12.5	TLN	T2LN3L4X0	t:1:25-t:25:6-l:25.600:7-l:25.600:1
16.2	38.2	1.28	0.007	36	4	230.1	234.0	778.0	10.9	TLN	T2LN3L4X0	t:1:25-t:25:2-l:25.600:7-l:25.600:1
11.0	34.0	1.28	0.007	38	4	246.1	250.0	826.0	11.9	TLN	T2LN3L4X0	t:1:25-t:25:4-l:25.600:7-l:25.600:1
6.4	32.4	1.35	0.008	60	4	421.6	431.0	1359.0	14.7	TLN	T2LN3L4X0	t:1:25-t:25:25-l:25.600:8-l:25.600:1
6.7	32.7	1.34	0.008	53	4	367.1	375.0	1191.0	14.3	TLN	T2LN3L4X0	t:1:25-t:25:18-l:25.600:8-l:25.600:1
7.3	32.3	1.33	0.008	47	4	320.0	327.0	1047.0	13.7	TLN	T2LN3L4X0	t:1:25-t:25:12-l:25.600:8-l:25.600:1
9.0	33.0	1.32	0.008	41	4	272.4	279.0	903.0	12.7	TLN	T2LN3L4X0	t:1:25-t:25:6-l:25.600:8-l:25.600:1
15.8	37.8	1.32	0.008	37	4	240.5	247.0	807.0	11.1	TLN	T2LN3L4X0	t:1:25-t:25:2-l:25.600:8-l:25.600:1
10.7	33.7	1.32	0.008	39	4	256.5	263.0	855.0	12.1	TLN	T2LN3L4X0	t:1:25-t:25:4-l:25.600:8-l:25.600:1
14.1	38.1	1.12	0.005	54	4	351.6	353.0	1185.0	12.7	TLN	T2LN3L4X1	t:1:25-t:25:25-l:25.600:2-l:25.600:1
14.4	38.4	1.11	0.005	47	4	297.1	297.0	1017.0	12.3	TLN	T2LN3L4X1	t:1:25-t:25:18-l:25.600:2-l:25.600:1
14.9	37.9	1.10	0.005	41	4	250.0	249.0	873.0	11.7	TLN	T2LN3L4X1	t:1:25-t:25:12-l:25.600:2-l:25.600:1
16.7	38.7	1.09	0.005	35	4	202.4	201.0	729.0	10.7	TLN	T2LN3L4X1	t:1:25-t:25:6-l:25.600:2-l:25.600:1
23.5	43.5	1.08	0.005	31	4	170.4	169.0	633.0	9.1	TLN	T2LN3L4X1	t:1:25-t:25:2-l:25.600:2-l:25.600:1
18.4	39.4	1.09	0.005	33	4	186.4	185.0	681.0	10.1	TLN	T2LN3L4X1	t:1:25-t:25:4-l:25.600:2-l:25.600:1
10.6	35.6	1.16	0.006	55	4	364.5	366.0	1214.0	13.3	TLN	T2LN3L4X1	t:1:25-t:25:25-l:25.599:3-l:25.599:1
11.0	36.0	1.15	0.005	48	4	310.1	310.0	1046.0	12.8	TLN	T2LN3L4X1	t:1:25-t:25:18-l:25.599:3-l:25.599:1
11.5	35.5	1.14	0.005	42	4	262.9	262.0	902.0	12.3	TLN	T2LN3L4X1	t:1:25-t:25:12-l:25.599:3-l:25.599:1
13.2	36.2	1.13	0.005	36	4	215.3	214.0	758.0	11.3	TLN	T2LN3L4X1	t:1:25-t:25:6-l:25.599:3-l:25.599:1
20.1	41.1	1.12	0.005	32	4	183.4	182.0	662.0	9.7	TLN	T2LN3L4X1	t:1:25-t:25:2-l:25.599:3-l:25.599:1
14.9	36.9	1.12	0.005	34	4	199.4	198.0	710.0	10.7	TLN	T2LN3L4X1	t:1:25-t:25:4-l:25.599:3-l:25.599:1
8.9	33.9	1.20	0.006	56	4	376.9	379.0	1243.0	13.7	TLN	T2LN3L4X1	t:1:25-t:25:25-l:25.600:4-l:25.600:1
9.3	34.3	1.19	0.006	49	4	322.5	323.0	1075.0	13.3	TLN	T2LN3L4X1	t:1:25-t:25:18-l:25.600:4-l:25.600:1
9.8	33.8	1.18	0.006	43	4	275.4	275.0	931.0	12.7	TLN	T2LN3L4X1	t:1:25-t:25:12-l:25.600:4-l:25.600:1
11.5	34.5	1.17	0.006	37	4	227.8	227.0	787.0	11.7	TLN	T2LN3L4X1	t:1:25-t:25:6-l:25.600:4-l:25.600:1
18.4	39.4	1.16	0.006	33	4	195.8	195.0	691.0	10.1	TLN	T2LN3L4X1	t:1:25-t:25:2-l:25.600:4-l:25.600:1
13.2	35.2	1.16	0.006	35	4	211.8	211.0	739.0	11.1	TLN	T2LN3L4X1	t:1:25-t:25:4-l:25.600:4-l:25.600:1
7.9	33.9	1.23	0.007	57	4	388.9	392.0	1272.0	14.1	TLN	T2LN3L4X1	t:1:25-t:25:25-l:25.600:5-l:25.600:1
8.2	34.2	1.22	0.006	50	4	334.4	336.0	1104.0	13.6	TLN	T2LN3L4X1	t:1:25-t:25:18-l:25.600:5-l:25.600:1
8.8	33.8	1.22	0.006	44	4	287.3	288.0	960.0	13.0	TLN	T2LN3L4X1	t:1:25-t:25:12-l:25.600:5-l:25.600:1
10.5	34.5	1.21	0.006	38	4	239.7	240.0	816.0	12.0	TLN	T2LN3L4X1	t:1:25-t:25:6-l:25.600:5-l:25.600:1
17.3	39.3	1.20	0.006	34	4	207.7	208.0	720.0	10.4	TLN	T2LN3L4X1	t:1:25-t:25:2-l:25.600:5-l:25.600:1
12.2	35.2	1.20	0.006	36	4	223.7	224.0	768.0	11.4	TLN	T2LN3L4X1	t:1:25-t:25:4-l:25.600:5-l:25.600:1
7.2	33.2	1.27	0.007	58	4	400.3	405.0	1301.0	14.3	TLN	T2LN3L4X1	t:1:25-t:25:25-l:25.602:6-l:25.602:1
7.6	33.6	1.26	0.007	51	4	345.8	349.0	1133.0	13.8	TLN	T2LN3L4X1	t:1:25-t:25:18-l:25.602:6-l:25.602:1
8.1	33.1	1.25	0.007	45	4	298.7	301.0	989.0	13.3	TLN	T2LN3L4X1	t:1:25-t:25:12-l:25.602:6-l:25.602:1
9.8	33.8	1.25	0.007	39	4	251.1	253.0	845.0	12.3	TLN	T2LN3L4X1	t:1:25-t:25:6-l:25.602:6-l:25.602:1
16.7	38.7	1.24	0.007	35	4	219.2	221.0	749.0	10.7	TLN	T2LN3L4X1	t:1:25-t:25:2-l:25.602:6-l:25.602:1
11.5	34.5	1.24	0.007	37	4	235.2	237.0	797.0	11.7	TLN	T2LN3L4X1	t:1:25-t:25:4-l:25.602:6-l:25.602:1
6.7	32.7	1.31	0.008	59	4	411.2	418.0	1330.0	14.5	TLN	T2LN3L4X1	t:1:25-t:25:25-l:25.599:7-l:25.599:1
7.1	33.1	1.30	0.007	52	4	356.7	362.0	1162.0	14.1	TLN	T2LN3L4X1	t:1:25-t:25:18-l:25.599:7-l:25.599:1
7.6	32.6	1.29	0.007	46	4	309.6	314.0	1018.0	13.5	TLN	T2LN3L4X1	t:1:25-t:25:12-l:25.599:7-l:25.599:1
9.3	33.3	1.28	0.007	40	4	262.0	266.0	874.0	12.5	TLN	T2LN3L4X1	t:1:25-t:25:6-l:25.599:7-l:25.599:1
16.2	38.2	1.28	0.007	36	4	230.1	234.0	778.0	10.9	TLN	T2LN3L4X1	t:1:25-t:25:2-l:25.599:7-l:25.599:1
11.0	34.0	1.28	0.007	38	4	246.1	250.0	826.0	11.9	TLN	T2LN3L4X1	t:1:25-t:25:4-l:25.599:7-l:25.599:1
6.4	32.4	1.35	0.008	60	4	421.6	431.0	1359.0	14.7	TLN	T2LN3L4X1	t:1:25-t:25:25-l:25.600:8-l:25.600:1
6.7	32.7	1.34	0.008	53	4	367.1	375.0	1191.0	14.3	TLN	T2LN3L4X1	t:1:25-t:25:18-l:25.600:8-l:25.600:1
7.3	32.3	1.33	0.008	47	4	320.0	327.0	1047.0	13.7	TLN	T2LN3L4X1	t:1:25-t:25:12-l:25.600:8-l:25.600:1
9.0	33.0	1.32	0.008	41	4	272.4	279.0	903.0	12.7	TLN	T2LN3L4X1	t:1:25-t:25:6-l:25.600:8-l:25.600:1
15.8	37.8	1.32	0.008	37	4	240.5	247.0	807.0	11.1	TLN	T2LN3L4X1	t:1:25-t:25:2-l:25.600:8-l:25.600:1
10.7	33.7	1.32	0.008	39	4	256.5	263.0	855.0	12.1	TLN	T2LN3L4X1	t:1:25-t:25:4-l:25.600:8-l:25.600:1
4.8	27.8	1.99	0.017	77	4	523.7	652.0	1852.0	16.4	TL	T3L4	t:1:25-t:25:25-t:25:25-l:26.214:1
5.2	28.2	1.73	0.013	70	4	499.1	561.0	1649.0	15.9	TL	T3L4	t:1:25-t:25:25-t:25:18-l:26.214:1
5.7	27.7	1.50	0.010	64	4	458.6	483.0	1475.0	15.3	TL	T3L4	t:1:25-t:25:25-t:25:12-l:26.214:1
7.5	28.5	1.27	0.007	58	4	400.3	405.0	1301.0	14.3	TL	T3L4	t:1:25-t:25:25-t:25:6-l:26.214:1
14.5	33.5	1.12	0.005	54	4	351.5	353.0	1185.0	12.7	TL	T3L4	t:1:25-t:25:25-t:25:2-l:26.214:1
9.2	29.2	1.19	0.006	56	4	376.9	379.0	1243.0	13.7	TL	T3L4	t:1:25-t:25:25-t:25:4-l:26.214:1
30.0	52.0	1.10	0.005	16	5	118.7	117.0	341.0	5.9	TL	T1L5	t:1:11-l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
30.3	51.3	1.10	0.005	13	5	109.7	108.0	284.0	5.5	TL	T1L5	t:1:8-l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
31.0	52.0	1.10	0.005	10	5	100.7	99.0	227.0	4.8	TL	T1L5	t:1:5-l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
33.7	52.7	1.10	0.005	7	5	91.7	90.0	170.0	3.5	TL	T1L5	t:1:2-l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
25.5	48.5	1.10	0.005	17	5	125.8	124.0	364.0	6.9	TLN	T1LN2L5X0	t:1:11-l:11.314:2-l:11.314:1-l:11.314:1-l:11.314:1
25.8	47.8	1.10	0.005	14	5	116.8	115.0	307.0	6.5	TLN	T1LN2L5X0	t:1:8-l:11.314:2-l:11.314:1-l:11.314:1-l:11.314:1
26.4	48.4	1.10	0.005	11	5	107.8	106.0	250.0	5.8	TLN	T1LN2L5X0	t:1:5-l:11.314:2-l:11.314:1-l:11.314:1-l:11.314:1
29.2	49.2	1.10	0.005	8	5	98.8	97.0	193.0	4.5	TLN	T1LN2L5X0	t:1:2-l:11.314:2-l:11.314:1-l:11.314:1-l:11.314:1
23.9	47.9	1.10	0.005	18	5	132.8	131.0	387.0	7.5	TLN	T1LN2L5X0	t:1:11-l:11.314:3-l:11.314:1-l:11.314:1-l:11.314:1
24.3	47.3	1.10	0.005	15	5	123.8	122.0	330.0	7.1	TLN	T1LN2L5X0	t:1:8-l:11.314:3-l:11.314:1-l:11.314:1-l:11.314:1
24.9	47.9	1.10	0.005	12	5	114.8	113.0	273.0	6.4	TLN	T1LN2L5X0	t:1:5-l:11.314:3-l:11.314:1-l:11.314:1-l:11.314:1
27.6	48.6	1.10	0.005	9	5	105.8	104.0	216.0	5.1	TLN	T1LN2L5X0	t:1:2-l:11.314:3-l:11.314:1-l:11.314:1-l:11.314:1
23.2	47.2	1.10	0.005	19	5	139.8	138.0	410.0	7.9	TLN	T1LN2L5X0	t:1:11-l:11.314:4-l:11.314:1-l:11.314:1-l:11.314:1
23.5	46.5	1.10	0.005	16	5	130.8	129.0	353.0	7.5	TLN	T1LN2L5X0	t:1:8-l:11.314:4-l:11.314:1-l:11.314:1-l:11.314:1
24.2	47.2	1.10	0.005	13	5	121.8	120.0	296.0	6.8	TLN	T1LN2L5X0	t:1:5-l:11.314:4-l:11.314:1-l:11.314:1-l:11.314:1
26.9	47.9	1.10	0.005	10	5	112.8	111.0	239.0	5.5	TLN	T1LN2L5X0	t:1:2-l:11.314:4-l:11.314:1-l:11.314:1-l:11.314:1
20.9	44.9	1.11	0.005	18	5	136.9	135.0	391.0	7.9	TLN	T1LN3L5X0	t:1:11-l:11.314:2-l:11.314:2-l:11.314:1-l:11.314:1
21.2	44.2	1.11	0.005	15	5	127.9	126.0	334.0	7.5	TLN	T1LN3L5X0	t:1:8-l:11.314:2-l:11.314:2-l:11.314:1-l:11.314:1
21.9	44.9	1.11	0.005	12	5	118.9	117.0	277.0	6.8	TLN	T1LN3L5X0	t:1:5-l:11.314:2-l:11.314:2-l:11.314:1-l:11.314:1
24.6	45.6	1.11	0.005	9	5	109.9	108.0	220.0	5.5	TLN	T1LN3L5X0	t:1:2-l:11.314:2-l:11.314:2-l:11.314:1-l:11.314:1
17.9	43.9	1.11	0.005	20	5	154.9	153.0	441.0	9.1	TLN	T1LN3L5X0	t:1:11-l:11.314:3-l:11.314:3-l:11.314:1-l:11.314:1
18.2	43.2	1.11	0.005	17	5	145.9	144.0	384.0	8.6	TLN	T1LN3L5X0	t:1:8-l:11.314:3-l:11.314:3-l:11.314:1-l:11.314:1
18.9	43.9	1.11	0.005	14	5	136.9	135.0	327.0	8.0	TLN	T1LN3L5X0	t:1:5-l:11.314:3-l:11.314:3-l:11.314:1-l:11.314:1
21.6	44.6	1.11	0.005	11	5	127.9	126.0	270.0	6.6	TLN	T1LN3L5X0	t:1:2-l:11.314:3-l:11.314:3-l:11.314:1-l:11.314:1
16.4	42.4	1.12	0.005	22	5	172.8	171.0	491.0	9.9	TLN	T1LN3L5X0	t:1:11-l:11.314:4-l:11.314:4-l:11.314:1-l:11.314:1
16.7	41.7	1.12	0.005	19	5	163.8	162.0	434.0	9.5	TLN	T1LN3L5X0	t:1:8-l:11.314:4-l:11.314:4-l:11.314:1-l:11.314:1
17.4	42.4	1.12	0.005	16	5	154.8	153.0	377.0	8.8	TLN	T1LN3L5X0	t:1:5-l:11.314:4-l:11.314:4-l:11.314:1-l:11.314:1
20.1	43.1	1.12	0.005	13	5	145.8	144.0	320.0	7.5	TLN	T1LN3L5X0	t:1:2-l:11.314:4-l:11.314:4-l:11.314:1-l:11.314:1
16.4	41.4	1.19	0.006	19	5	152.5	149.0	421.0	8.9	TLN	T1LN4L5X0	t:1:11-l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
16.7	40.7	1.19	0.006	16	5	143.5	140.0	364.0	8.5	TLN	T1LN4L5X0	t:1:8-l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
17.4	41.4	1.19	0.006	13	5	134.5	131.0	307.0	7.8	TLN	T1LN4L5X0	t:1:5-l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
20.1	42.1	1.19	0.006	10	5	125.5	122.0	250.0	6.5	TLN	T1LN4L5X0	t:1:2-l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
11.9	39.9	1.29	0.007	22	5	184.2	181.0	501.0	10.7	TLN	T1LN4L5X0	t:1:11-l:11.314:3-l:11.314:3-l:11.314:3-l:11.314:1
12.2	39.2	1.29	0.007	19	5	175.2	172.0	444.0	10.2	TLN	T1LN4L5X0	t:1:8-l:11.314:3-l:11.314:3-l:11.314:3-l:11.314:1
12.9	39.9	1.29	0.007	16	5	166.2	163.0	387.0	9.5	TLN	T1LN4L5X0	t:1:5-l:11.314:3-l:11.314:3-l:11.314:3-l:11.314:1
15.6	40.6	1.29	0.007	13	5	157.2	154.0	330.0	8.2	TLN	T1LN4L5X0	t:1:2-l:11.314:3-l:11.314:3-l:11.314:3-l:11.314:1
9.6	37.6	1.39	0.009	25	5	214.7	213.0	581.0	11.9	TLN	T1LN4L5X0	t:1:11-l:11.314:4-l:11.314:4-l:11.314:4-l:11.314:1
9.9	36.9	1.39	0.009	22	5	205.7	204.0	524.0	11.5	TLN	T1LN4L5X0	t:1:8-l:11.314:4-l:11.314:4-l:11.314:4-l:11.314:1
10.6	37.6	1.39	0.009	19	5	196.7	195.0	467.0	10.8	TLN	T1LN4L5X0	t:1:5-l:11.314:4-l:11.314:4-l:11.314:4-l:11.314:1
13.3	38.3	1.39	0.009	16	5	187.7	186.0	410.0	9.5	TLN	T1LN4L5X0	t:1:2-l:11.314:4-l:11.314:4-l:11.314:4-l:11.314:1
22.4	45.4	1.14	0.005	17	5	126.6	124.0	364.0	6.9	TLN	T1LN2L5X1	t:1:11-l:16.000:2-l:16.000:1-l:8.000:1-l:8.000:1
22.8	44.8	1.14	0.005	14	5	117.6	115.0	307.0	6.5	TLN	T1LN2L5X1	t:1:8-l:16.000:2-l:16.000:1-l:8.000:1-l:8.000:1
23.8	45.8	1.14	0.005	11	5	108.6	106.0	250.0	5.8	TLN	T1LN2L5X1	t:1:5-l:16.000:2-l:16.000:1-l:8.000:1-l:8.000:1
27.6	47.6	1.14	0.005	8	5	99.6	97.0	193.0	4.5	TLN	T1LN2L5X1	t:1:2-l:16.000:2-l:16.000:1-l:8.000:1-l:8.000:1
19.1	43.1	1.18	0.006	18	5	139.2	136.0	392.0	7.5	TLN	T1LN2L5X1	t:1:11-l:19.596:3-l:19.596:1-l:6.532:1-l:6.532:1
19.6	42.6	1.18	0.006	15	5	130.2	127.0	335.0	7.1	TLN	T1LN2L5X1	t:1:8-l:19.596:3-l:19.596:1-l:6.532:1-l:6.532:1
20.8	43.8	1.18	0.006	12	5	121.2	118.0	278.0	6.4	TLN	T1LN2L5X1	t:1:5-l:19.596:3-l:19.596:1-l:6.532:1-l:6.532:1
25.5	46.5	1.18	0.006	9	5	112.2	109.0	221.0	5.1	TLN	T1LN2L5X1	t:1:2-l:19.596:3-l:19.596:1-l:6.532:1-l:6.532:1
17.2	41.2	1.21	0.006	19	5	148.8	145.0	417.0	7.9	TLN	T1LN2L5X1	t:1:11-l:22.628:4-l:22.628:1-l:5.657:1-l:5.657:1
17.8	40.8	1.21	0.006	16	5	139.8	136.0	360.0	7.5	TLN	T1LN2L5X1	t:1:8-l:22.628:4-l:22.628:1-l:5.657:1-l:5.657:1
19.2	42.2	1.21	0.006	13	5	130.8	127.0	303.0	6.8	TLN	T1LN2L5X1	t:1:5-l:22.628:4-l:22.628:1-l:5.657:1-l:5.657:1
24.6	45.6	1.21	0.006	10	5	121.8	118.0	246.0	5.5	TLN	T1LN2L5X1	t:1:2-l:22.628:4-l:22.628:1-l:5.657:1-l:5.657:1
19.1	43.1	1.17	0.006	18	5	139.1	136.0	392.0	7.9	TLN	T1LN3L5X1	t:1:11-l:13.454:2-l:13.454:2-l:13.454:1-l:6.727:1
19.5	42.5	1.17	0.006	15	5	130.1	127.0	335.0	7.5	TLN	T1LN3L5X1	t:1:8-l:13.454:2-l:13.454:2-l:13.454:1-l:6.727:1
20.3	43.3	1.17	0.006	12	5	121.1	118.0	278.0	6.8	TLN	T1LN3L5X1	t:1:5-l:13.454:2-l:13.454:2-l:13.454:1-l:6.727:1
23.5	44.5	1.17	0.006	9	5	112.1	109.0	221.0	5.5	TLN	T1LN3L5X1	t:1:2-l:13.454:2-l:13.454:2-l:13.454:1-l:6.727:1
15.0	41.0	1.25	0.007	20	5	158.2	154.0	442.0	9.1	TLN	T1LN3L5X1	t:1:11-l:14.889:3-l:14.889:3-l:14.889:1-l:4.963:1
15.4	40.4	1.25	0.007	17	5	149.2	145.0	385.0	8.6	TLN	T1LN3L5X1	t:1:8-l:14.889:3-l:14.889:3-l:14.889:1-l:4.963:1
