wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	F	L	C
26.6	46.6	1.14	0.005	7	4	100.5	98.0	178.0	4.5	LN	LNA2L4	l:8.000:2-l:16.000:2-l:16.000:1-l:8.000:1
21.9	43.9	1.18	0.006	9	4	121.1	118.0	230.0	5.6	LN	LNA2L4	l:6.532:3-l:19.596:3-l:19.596:1-l:6.532:1
19.1	41.1	1.21	0.006	11	4	138.4	135.0	279.0	6.5	LN	LNA2L4	l:5.657:4-l:22.628:4-l:22.628:1-l:5.657:1
22.5	43.5	1.16	0.006	8	4	114.9	112.0	208.0	5.5	LN	LNA3L4	l:6.727:2-l:13.454:2-l:13.454:2-l:13.454:1
16.9	40.9	1.22	0.006	11	4	144.4	142.0	286.0	7.2	LN	LNA3L4	l:4.963:3-l:14.889:3-l:14.889:3-l:14.889:1
13.8	37.8	1.27	0.007	14	4	161.4	160.0	352.0	8.4	LN	LNA3L4	l:4.000:4-l:16.000:4-l:16.000:4-l:16.000:1
26.1	45.1	1.17	0.006	7	5	103.0	100.0	180.0	3.5	LN	LNC1L5	l:6.964:2-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
23.3	43.3	1.17	0.006	8	5	112.1	109.0	205.0	4.5	LN	LNC2L5	l:6.964:2-l:6.964:2-l:6.964:1-l:6.964:1-l:6.964:1
20.5	41.5	1.19	0.006	9	5	124.4	121.0	233.0	5.5	LN	LNC3L5	l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1-l:6.964:1
17.7	39.7	1.34	0.008	10	5	142.0	136.0	264.0	6.5	LN	LNC4L5	l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1
25.3	44.3	1.20	0.006	7	5	104.6	101.0	181.0	3.5	LN	LNA1L5	l:6.063:2-l:12.126:1-l:6.063:1-l:6.063:1-l:6.063:1
22.1	42.1	1.23	0.007	8	5	114.2	110.0	206.0	4.5	LN	LNA2L5	l:5.278:2-l:10.556:2-l:10.556:1-l:5.278:1-l:5.278:1
19.4	40.4	1.27	0.007	9	5	125.9	121.0	233.0	5.5	LN	LNA3L5	l:4.595:2-l:9.190:2-l:9.190:2-l:9.190:1-l:4.595:1
17.0	39.0	1.29	0.007	10	5	133.1	128.0	256.0	6.5	LN	LNA4L5	l:4.000:2-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1
2.8	34.8	2.00	0.017	16386	2	24649.0	49204.0	311348.0	16.2	TL	T1L2	t:1:16384-l:16384.000:1
3.1	35.1	1.75	0.013	12290	2	23107.8	36916.0	233524.0	15.8	TL	T1L2	t:1:12288-l:16384.000:1
3.6	34.6	1.50	0.010	8194	2	18494.5	24628.0	155700.0	15.2	TL	T1L2	t:1:8192-l:16384.000:1
5.2	35.2	1.25	0.007	4098	2	10809.2	12340.0	77876.0	14.2	TL	T1L2	t:1:4096-l:16384.000:1
6555.6	6574.6	1.00	0.003	4	2	58.0	58.0	90.0	3.2	TL	T1L2	t:1:2-l:16384.000:1
3278.8	3298.8	1.00	0.003	6	2	64.0	64.0	128.0	4.2	TL	T1L2	t:1:4-l:16384.000:1
2186.5	2207.5	1.00	0.003	8	2	70.0	70.0	166.0	4.8	TL	T1L2	t:1:6-l:16384.000:1
1640.4	1661.4	1.00	0.003	10	2	76.0	76.0	204.0	5.2	TL	T1L2	t:1:8-l:16384.000:1
105.2	130.2	1.02	0.004	131	3	444.8	446.0	2510.0	9.3	TL	T1L3	t:1:128-l:128.000:1-l:128.000:1
105.5	130.5	1.01	0.004	99	3	349.4	350.0	1902.0	8.9	TL	T1L3	t:1:96-l:128.000:1-l:128.000:1
106.0	130.0	1.01	0.004	67	3	253.8	254.0	1294.0	8.3	TL	T1L3	t:1:64-l:128.000:1-l:128.000:1
107.6	130.6	1.01	0.004	35	3	158.1	158.0	686.0	7.3	TL	T1L3	t:1:32-l:128.000:1-l:128.000:1
155.6	174.6	1.01	0.004	5	3	68.1	68.0	116.0	3.3	TL	T1L3	t:1:2-l:128.000:1-l:128.000:1
130.0	150.0	1.01	0.004	7	3	74.1	74.0	154.0	4.3	TL	T1L3	t:1:4-l:128.000:1-l:128.000:1
121.5	142.5	1.01	0.004	9	3	80.1	80.0	192.0	4.9	TL	T1L3	t:1:6-l:128.000:1-l:128.000:1
117.2	138.2	1.01	0.004	11	3	86.1	86.0	230.0	5.3	TL	T1L3	t:1:8-l:128.000:1-l:128.000:1
54.0	80.0	1.02	0.004	132	3	454.9	456.0	2536.0	10.3	TLN	T1LN2L3X0	t:1:128-l:128.000:2-l:128.000:1
54.3	80.3	1.02	0.004	100	3	359.6	360.0	1928.0	9.9	TLN	T1LN2L3X0	t:1:96-l:128.000:2-l:128.000:1
54.8	79.8	1.02	0.004	68	3	264.0	264.0	1320.0	9.3	TLN	T1LN2L3X0	t:1:64-l:128.000:2-l:128.000:1
56.4	80.4	1.02	0.004	36	3	168.2	168.0	712.0	8.3	TLN	T1LN2L3X0	t:1:32-l:128.000:2-l:128.000:1
104.4	124.4	1.02	0.004	6	3	78.3	78.0	142.0	4.3	TLN	T1LN2L3X0	t:1:2-l:128.000:2-l:128.000:1
78.8	99.8	1.02	0.004	8	3	84.3	84.0	180.0	5.3	TLN	T1LN2L3X0	t:1:4-l:128.000:2-l:128.000:1
70.3	92.3	1.02	0.004	10	3	90.3	90.0	218.0	5.9	TLN	T1LN2L3X0	t:1:6-l:128.000:2-l:128.000:1
66.0	88.0	1.02	0.004	12	3	96.3	96.0	256.0	6.3	TLN	T1LN2L3X0	t:1:8-l:128.000:2-l:128.000:1
36.9	63.9	1.03	0.004	133	3	465.0	466.0	2562.0	10.9	TLN	T1LN2L3X0	t:1:128-l:128.000:3-l:128.000:1
37.2	64.2	1.03	0.004	101	3	369.6	370.0	1954.0	10.5	TLN	T1LN2L3X0	t:1:96-l:128.000:3-l:128.000:1
37.7	63.7	1.03	0.004	69	3	274.0	274.0	1346.0	9.9	TLN	T1LN2L3X0	t:1:64-l:128.000:3-l:128.000:1
39.3	64.3	1.03	0.004	37	3	178.3	178.0	738.0	8.9	TLN	T1LN2L3X0	t:1:32-l:128.000:3-l:128.000:1
87.3	108.3	1.02	0.004	7	3	88.3	88.0	168.0	4.9	TLN	T1LN2L3X0	t:1:2-l:128.000:3-l:128.000:1
61.7	83.7	1.02	0.004	9	3	94.3	94.0	206.0	5.9	TLN	T1LN2L3X0	t:1:4-l:128.000:3-l:128.000:1
53.2	76.2	1.02	0.004	11	3	100.3	100.0	244.0	6.5	TLN	T1LN2L3X0	t:1:6-l:128.000:3-l:128.000:1
